Entity,Code,Year,co2-per-capita
Australia,AUS,1860,0.2161
Australia,AUS,1861,0.3771
Australia,AUS,1862,0.2533
Australia,AUS,1863,0.2765
Australia,AUS,1864,0.1799
Australia,AUS,1865,0.2754
Australia,AUS,1866,0.442
Australia,AUS,1867,0.5514
Australia,AUS,1868,0.4391
Australia,AUS,1869,0.3738
Australia,AUS,1870,0.3415
Australia,AUS,1871,0.3841
Australia,AUS,1872,0.3835
Australia,AUS,1873,0.4611
Australia,AUS,1874,0.4629
Australia,AUS,1875,0.4215
Australia,AUS,1876,0.4638
Australia,AUS,1877,0.5203
Australia,AUS,1878,0.4622
Australia,AUS,1879,0.6786
Australia,AUS,1880,1.002
Australia,AUS,1881,0.7791
Australia,AUS,1882,0.8595
Australia,AUS,1883,1.0013
Australia,AUS,1884,1.0258
Australia,AUS,1885,1.1196
Australia,AUS,1886,1.0749
Australia,AUS,1887,1.0912
Australia,AUS,1888,1.2262
Australia,AUS,1889,1.1542
Australia,AUS,1890,1.1623
Australia,AUS,1891,1.2817
Australia,AUS,1892,1.2993
Australia,AUS,1893,1.2182
Australia,AUS,1894,1.3155
Australia,AUS,1895,1.36
Australia,AUS,1896,1.3097
Australia,AUS,1897,1.4208
Australia,AUS,1898,1.5738
Australia,AUS,1899,1.5935
Australia,AUS,1900,2.7529
Australia,AUS,1901,3.0463
Australia,AUS,1902,2.9864
Australia,AUS,1903,2.8953
Australia,AUS,1904,2.9339
Australia,AUS,1905,3.0146
Australia,AUS,1906,3.5381
Australia,AUS,1907,3.7551
Australia,AUS,1908,4.0031
Australia,AUS,1909,3.4205
Australia,AUS,1910,4.0278
Australia,AUS,1911,4.3639
Australia,AUS,1912,4.6252
Australia,AUS,1913,4.8834
Australia,AUS,1914,5.233
Australia,AUS,1915,4.5664
Australia,AUS,1916,3.9581
Australia,AUS,1917,4.1791
Australia,AUS,1918,4.5252
Australia,AUS,1919,4.2034
Australia,AUS,1920,4.8787
Australia,AUS,1921,4.3053
Australia,AUS,1922,4.441
Australia,AUS,1923,4.4486
Australia,AUS,1924,4.7557
Australia,AUS,1925,4.8678
Australia,AUS,1926,4.7124
Australia,AUS,1927,4.7972
Australia,AUS,1928,4.2827
Australia,AUS,1929,3.7897
Australia,AUS,1930,3.4785
Australia,AUS,1931,3.0479
Australia,AUS,1932,3.1388
Australia,AUS,1933,3.3017
Australia,AUS,1934,3.4433
Australia,AUS,1935,3.7949
Australia,AUS,1936,4.0344
Australia,AUS,1937,4.2674
Australia,AUS,1938,4.1112
Australia,AUS,1939,4.6663
Australia,AUS,1940,4.1673
Australia,AUS,1941,4.8932
Australia,AUS,1942,5.0956
Australia,AUS,1943,4.8067
Australia,AUS,1944,4.6247
Australia,AUS,1945,4.3496
Australia,AUS,1946,4.6373
Australia,AUS,1947,4.8976
Australia,AUS,1948,4.8712
Australia,AUS,1949,4.6908
Australia,AUS,1950,6.6939
Australia,AUS,1951,7.0288
Australia,AUS,1952,7.0042
Australia,AUS,1953,6.7676
Australia,AUS,1954,7.5627
Australia,AUS,1955,7.7107
Australia,AUS,1956,7.7925
Australia,AUS,1957,7.7723
Australia,AUS,1958,7.9123
Australia,AUS,1959,8.3468
Australia,AUS,1960,8.6036
Australia,AUS,1961,8.6641
Australia,AUS,1962,8.9091
Australia,AUS,1963,9.3068
Australia,AUS,1964,9.8393
Australia,AUS,1965,10.6825
Australia,AUS,1966,10.3696
Australia,AUS,1967,10.8528
Australia,AUS,1968,11.0102
Australia,AUS,1969,11.3527
Australia,AUS,1970,11.5281
Australia,AUS,1971,11.7109
Australia,AUS,1972,11.8796
Australia,AUS,1973,12.7181
Australia,AUS,1974,12.6558
Australia,AUS,1975,12.7576
Australia,AUS,1976,12.4913
Australia,AUS,1977,13.3123
Australia,AUS,1978,14.1634
Australia,AUS,1979,14.2142
Australia,AUS,1980,15.1169
Australia,AUS,1981,15.5735
Australia,AUS,1982,15.6142
Australia,AUS,1983,14.7937
Australia,AUS,1984,15.3251
Australia,AUS,1985,15.3852
Australia,AUS,1986,15.0602
Australia,AUS,1987,15.8097
Australia,AUS,1988,15.8567
Australia,AUS,1989,16.602
Australia,AUS,1990,16.416
Australia,AUS,1991,16.2819
Australia,AUS,1992,16.3722
Australia,AUS,1993,16.4308
Australia,AUS,1994,16.5191
Australia,AUS,1995,16.9738
Australia,AUS,1996,17.1728
Australia,AUS,1997,17.4466
Australia,AUS,1998,18.0064
Australia,AUS,1999,18.3128
Australia,AUS,2000,18.4396
Australia,AUS,2001,18.6338
Australia,AUS,2002,18.6693
Australia,AUS,2003,18.8403
Australia,AUS,2004,19.2762
Australia,AUS,2005,19.1547
Australia,AUS,2006,19.1306
Australia,AUS,2007,19.1163
Australia,AUS,2008,18.958
Australia,AUS,2009,18.7332
Australia,AUS,2010,18.3033
Australia,AUS,2011,17.9329
Australia,AUS,2012,17.7483
Australia,AUS,2013,17.1122
Australia,AUS,2014,16.7024
Australia,AUS,2015,16.7786
Australia,AUS,2016,16.9409
Australia,AUS,2017,16.8844
Australia,AUS,2018,16.7062
Australia,AUS,2019,16.3081
