target,source,value
NSW,Black coal,80.9817782
NSW,Gas,2.389118901
NSW,Hydro,3.075325721
NSW,Liquid Fuel,0
NSW,Solar,4.159399449
NSW,Wind,9.39437773
QLD,Battery,0.001080118
QLD,Biomass,0.993950699
QLD,Black coal,79.16128077
QLD,Gas,8.793774328
QLD,Hydro,1.623319247
QLD,Liquid Fuel,0.262289818
QLD,Solar,5.333012337
QLD,Wind,3.831292688
SA,Battery,0.797585982
SA,Gas,44.77286313
SA,Liquid Fuel,0.153240141
SA,Solar,3.802234227
SA,Wind,50.47407652
TAS,Gas,0.177135945
TAS,Hydro,85.7533899
TAS,Wind,14.06947415
VIC,Battery,0.051357821
VIC,Brown coal,67.96758403
VIC,Gas,3.721524304
VIC,Hydro,5.936906891
VIC,Solar,2.164771015
VIC,Wind,20.15785594
